OID_,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,X,Y
,2.000000000000000,Bronx,005,BX46,Parkchester,9184677.038219999521971,12411.788209500000448,-73.857988847000001,40.837746619500003
,2.000000000000000,Bronx,005,BX55,Soundview-Bruckner,16253358.287000000476837,19756.559654000000592,-73.869681913600004,40.827900155000002
,3.000000000000000,Brooklyn,047,BK30,Dyker Heights,29911047.210200000554323,30596.845373100000870,-74.012094036099995,40.622437890900002
,3.000000000000000,Brooklyn,047,BK23,West Brighton,8738769.002939999103546,14113.581366899999921,-73.973390949800006,40.579088686299997
,4.000000000000000,Queens,081,QN18,Rego Park,19941713.504599999636412,26675.108731699998316,-73.863338638200005,40.726155441099998
,4.000000000000000,Queens,081,QN19,Glendale,30016735.809000000357628,41514.435349799998221,-73.875748260300000,40.703534970500002
,2.000000000000000,Bronx,005,BX28,Van Cortlandt Village,25666125.033100001513958,21945.719982899998286,-73.895622098000004,40.876513381999999
,4.000000000000000,Queens,081,QN26,North Corona,18000833.559700001031160,18431.053189700000075,-73.863037690599995,40.752579157400000
,4.000000000000000,Queens,081,QN38,Pomonok-Flushing Heights-Hillcrest,38835956.593999996781349,30731.592033199998696,-73.802444956100004,40.728333163400002
,1.000000000000000,Manhattan,061,MN15,Clinton,18362149.281300000846386,34481.628774199998588,-73.992393406900007,40.764166291199999
,5.000000000000000,Staten Island,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,89023935.742799997329712,70983.848468500000308,-74.167239038299996,40.631307768399999
,4.000000000000000,Queens,081,QN34,Queens Village,69533432.823500007390976,41782.401110999999219,-73.741531810100000,40.715454525299997
,4.000000000000000,Queens,081,QN43,Bellerose,55184284.556500002741814,32086.150890900000377,-73.726656844600001,40.735487776799999
,2.000000000000000,Bronx,005,BX41,Mount Hope,14716710.846300000324845,18937.248156599998765,-73.905121949399998,40.849058131299998
,4.000000000000000,Queens,081,QN21,Middle Village,57684905.434900000691414,42675.548476399999345,-73.880053479400004,40.718337840799997
,4.000000000000000,Queens,081,QN29,Elmhurst,32675347.569299999624491,36711.336302499999874,-73.877118465600006,40.739494756399999
,4.000000000000000,Queens,081,QN66,Laurelton,39784922.185999996960163,29530.927750499999092,-73.744523964600006,40.675917134599999
,2.000000000000000,Bronx,005,BX62,Woodlawn-Wakefield,39738786.385799996554852,38694.040708599997743,-73.852215478600002,40.897930955600003
,2.000000000000000,Bronx,005,BX07,Bronxdale,15185447.528599999845028,17432.176109200001520,-73.864901005799993,40.864004780899997
,3.000000000000000,Brooklyn,047,BK85,East New York (Pennsylvania Ave),19397526.685199998319149,24226.851288000001659,-73.895364119999996,40.666558937700003
,4.000000000000000,Queens,081,QN55,South Ozone Park,82461393.533199995756149,36708.169285600000876,-73.819459216400006,40.676155273600003
,3.000000000000000,Brooklyn,047,BK27,Bath Beach,20534620.813999999314547,22383.743233500001224,-74.007487260600001,40.604269810799998
,3.000000000000000,Brooklyn,047,BK28,Bensonhurst West,46670569.507100000977516,37137.439170400000876,-73.995259188700004,40.612219049200000
,5.000000000000000,Staten Island,085,SI48,Arden Heights,50410815.853100001811981,29689.395531800000754,-74.188483036999997,40.552658792499997
,4.000000000000000,Queens,081,QN30,Maspeth,35633161.000200003385544,41265.643302099997527,-73.902329883799993,40.723995137199999
,2.000000000000000,Bronx,005,BX44,Williamsbridge-Olinville,36273595.376599997282028,27351.077667599998676,-73.858948578799996,40.882156370899999
,4.000000000000000,Queens,081,QN50,Elmhurst-Maspeth,21927665.934799998998642,32362.825201100000413,-73.892173202699993,40.738316403299997
,4.000000000000000,Queens,081,QN23,College Point,50553980.638300001621246,59454.749497199998586,-73.842805670600001,40.780923219000002
,3.000000000000000,Brooklyn,047,BK73,North Side-South Side,28869768.122800000011921,28149.979953300000489,-73.958625480899997,40.714916497899999
,4.000000000000000,Queens,081,QN37,Kew Gardens Hills,37888713.654899999499321,33105.855225899998914,-73.818668403499998,40.726399350000001
,4.000000000000000,Queens,081,QN63,Woodside,28248218.668699998408556,27868.190343999998731,-73.903731065800002,40.749278582199999
,2.000000000000000,Bronx,005,BX98,Rikers Island,18163827.583700001239777,18898.116285799998877,-73.882655154000005,40.791130301899997
,5.000000000000000,Staten Island,085,SI28,Port Richmond,36422143.637699998915195,39041.546311500002048,-74.140787276500006,40.628167129799998
,3.000000000000000,Brooklyn,047,BK81,Brownsville,32719365.874000001698732,27298.849876200001745,-73.910254521200002,40.664001562400003
,4.000000000000000,Queens,081,QN54,Richmond Hill,50978396.171700000762939,33792.465525200001139,-73.830926400699994,40.694540694399997
,4.000000000000000,Queens,081,QN62,Queensboro Hill,26561788.172600001096725,30549.053161700001510,-73.819647653299995,40.743081721099998
,1.000000000000000,Manhattan,061,MN27,Chinatown,14501868.160299999639392,20786.256110499998613,-73.994629540399998,40.715607060200000
,5.000000000000000,Staten Island,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,141057788.368999987840652,71174.582913499994902,-74.187699959000000,40.528667231100002
,1.000000000000000,Manhattan,061,MN25,Battery Park City-Lower Manhattan,19014298.899599999189377,43738.496219100001326,-74.010244912999994,40.708007156400001
,4.000000000000000,Queens,081,QN17,Forest Hills,57827751.664399996399879,36171.478262199998426,-73.847672523400007,40.721431585500000
,1.000000000000000,Manhattan,061,MN14,Lincoln Square,15805586.314699999988079,19869.908319900001516,-73.984699296900004,40.774846563300002
,1.000000000000000,Manhattan,061,MN17,Midtown-Midtown South,30191534.374200001358986,27032.700223700001516,-73.983503021600001,40.755733929300000
,1.000000000000000,Manhattan,061,MN40,Upper East Side-Carnegie Hill,20065364.177799999713898,23778.410518600001524,-73.961174095499999,40.774729852199997
,4.000000000000000,Queens,081,QN53,Woodhaven,37000431.400799997150898,28067.664472399999795,-73.855766652599996,40.688721535699997
,5.000000000000000,Staten Island,085,SI54,Great Kills,89615894.748199999332428,66104.136997199995676,-74.150888800900006,40.551859965100000
,3.000000000000000,Brooklyn,047,BK60,Prospect Lefferts Gardens-Wingate,31638973.184500001370907,29562.442686999998841,-73.947441608099993,40.658744279099999
,2.000000000000000,Bronx,005,BX26,Highbridge,16457635.514499999582767,18506.310199899999134,-73.926158811999997,40.837825892700003
