OID,newcodes,area,pop_2010,ORIG_FID
144,1,5884589.908,64518,0
145,1,5884589.908,64518,0
146,1,5884589.908,64518,0
147,1,5884589.908,64518,0
148,1,5884589.908,64518,0
149,1,5884589.908,64518,0
150,1,5884589.908,64518,0
151,1,5884589.908,64518,0
152,1,5884589.908,64518,0
153,1,5884589.908,64518,0
154,1,5884589.908,64518,0
155,1,5884589.908,64518,0
156,1,5884589.908,64518,0
157,1,5884589.908,64518,0
158,1,5884589.908,64518,0
159,1,5884589.908,64518,0
160,1,5884589.908,64518,0
161,1,5884589.908,64518,0
162,1,5884589.908,64518,0
163,1,5884589.908,64518,0
164,1,5884589.908,64518,0
165,1,5884589.908,64518,0
166,1,5884589.908,64518,0
167,1,5884589.908,64518,0
168,1,5884589.908,64518,0
169,1,5884589.908,64518,0
170,1,5884589.908,64518,0
171,1,5884589.908,64518,0
172,1,5884589.908,64518,0
173,1,5884589.908,64518,0
174,1,5884589.908,64518,0
175,1,5884589.908,64518,0
176,1,5884589.908,64518,0
177,1,5884589.908,64518,0
178,1,5884589.908,64518,0
179,1,5884589.908,64518,0
180,1,5884589.908,64518,0
181,1,5884589.908,64518,0
182,1,5884589.908,64518,0
183,1,5884589.908,64518,0
184,1,5884589.908,64518,0
185,1,5884589.908,64518,0
186,1,5884589.908,64518,0
187,1,5884589.908,64518,0
188,1,5884589.908,64518,0
189,1,5884589.908,64518,0
190,1,5884589.908,64518,0
191,1,5884589.908,64518,0
192,1,5884589.908,64518,0
193,1,5884589.908,64518,0
194,1,5884589.908,64518,0
195,1,5884589.908,64518,0
196,1,5884589.908,64518,0
197,1,5884589.908,64518,0
198,1,5884589.908,64518,0
199,1,5884589.908,64518,0
200,1,5884589.908,64518,0
201,1,5884589.908,64518,0
202,1,5884589.908,64518,0
203,1,5884589.908,64518,0
204,1,5884589.908,64518,0
205,1,5884589.908,64518,0
206,1,5884589.908,64518,0
207,1,5884589.908,64518,0
208,1,5884589.908,64518,0
209,1,5884589.908,64518,0
210,1,5884589.908,64518,0
211,1,5884589.908,64518,0
212,1,5884589.908,64518,0
213,1,5884589.908,64518,0
214,1,5884589.908,64518,0
215,1,5884589.908,64518,0
216,1,5884589.908,64518,0
217,1,5884589.908,64518,0
218,1,5884589.908,64518,0
219,1,5884589.908,64518,0
220,1,5884589.908,64518,0
221,1,5884589.908,64518,0
222,1,5884589.908,64518,0
223,1,5884589.908,64518,0
224,1,5884589.908,64518,0
225,1,5884589.908,64518,0
226,1,5884589.908,64518,0
227,1,5884589.908,64518,0
228,1,5884589.908,64518,0
229,1,5884589.908,64518,0
230,1,5884589.908,64518,0
231,1,5884589.908,64518,0
232,1,5884589.908,64518,0
